"","index","total_events","total_times","test_events","test_times","conf_low","conf_high","p_value"
"1",1,8832,1262827,1062,160574,-4.57100247996102e-05,0.000805828031910674,0.087146578525242
"2",2,774,88690,190,25695,9.42321809266542e-05,0.00257095183380543,0.0435042497199427
"3",3,2864,190312,652,114390,0.00864252268256006,0.0100558238785905,6.60459055333531e-121
"4",4,6555,337987,25,4324,0.0111882933986856,0.0160368134616802,1.34347040723088e-10
"5",5,1971,226167,4983,76747,-0.0580063658773512,-0.0544192742813614,0
"6",6,2671,108831,335,20083,0.00583675531671376,0.00988697412457481,1.39988994798394e-11
