""
"1","교육",108831,2671
"2","미용",226167,1971
"3","서비스업",126918,1916
"4","오락 및 여가",190312,2864
"5","유통업",6684,77
"6","음식소매업",66045,448
"7","의료",11760,107
"8","의류",211069,4639
"9","일반 음식점",1196782,8384
"10","전자기기",14747,383
"11","휴게 음식점",88690,774
